,Title,Country,Sample size,Camels,Goats,Sheep,cattle ,humans,wildlife,StudyYear,Typeofstudy,outbreak
"Nakouné E, Kamgang B, Berthet N, Manirakiza A, Kazanji M.","Rift Valley Fever Virus Circulating among Ruminants, Mosquitoes and Humans in the Central African Republic",Central African Republic,1271,-,5,12.9,7.8,16.7,-,2010,1,0
"Blomström AL, Scharin I, Stenberg H, Figueiredo J, Nhambirre O, Abilio A, Berg, M, Fafetine J.","Seroprevalence of Rift Valley fever virus in sheep and goats in Zambézia, Mozambique.",Mozambique,368,-,25.1,44.2,-,-,-,2013,1,0
"Jori F, Alexander KA, Mokopasetso M, Munstermann S, Moagabo K, Paweska JT.",Serological Evidence of Rift Valley Fever Virus Circulation in Domestic Cattle and African Buffalo in Northern Botswana (2010-2011).,Botswana,888,-,-,-,5.7,-,12.7,2010,1,0
" Sindato C, Pfeiffer DU, Karimuribo ED, Mboera LE, Rweyemamu MM, Paweska JT. A",Spatial Analysis of Rift Valley Fever Virus Seropositivity in Domestic Ruminants in Tanzania.,Tanzania,1435,-,21.9,29.7,27.8,-,-,2013,1,0
"Boussini H, Lamien CE, Nacoulma OG, Kaboré A, Poda G, Viljoen G. ",Prevalence of Rift Valley fever in domestic ruminants in the central and northern regions of Burkina Faso.,Burkina Faso,520,-,17.5,20,22.5,-,-,2005,1,0
"Abdallah MM, Adam IA, Abdalla TM, Abdelaziz SA, Ahmed ME, Aradaib IE.",A survey of rift valley fever and associated risk factors among the one-humped camel (Camelus dromedaries) in Sudan.,Sudan,240,9.6,-,-,-,-,-,2014,1,0
"Swai ES, Sindato C. ",Seroprevalence of Rift Valley fever virus infection in camels (dromedaries) in northern Tanzania.,Tanzania,109,27.5,-,-,-,-,-,2010,1,0
" Owange NO, Ogara WO, Affognon H, Peter GB, Kasiiti J, Okuthe S, Onyango-Ouma W, Landmann T, Sang R, Mbabu M. ","Occurrence of rift valley fever in cattle in Ijara district, Kenya. ",Kenya,1396,-,-,-,13.1,-,-,2012,2,0
"Roger M, Beral M, Licciardi S, Soulé M, Faharoudine A, Foray C, Olive MM, Maquart M, Soulaimane A, Madi Kassim A, Cêtre-Sossah C, Cardinale E.",Evidence for circulation of the rift valley fever virus among livestock in the union of Comoros. ,Comoros,275,-,27.6,-,27.6,-,-,2011,1,0
"Roger M, Beral M, Licciardi S, Soulé M, Faharoudine A, Foray C, Olive MM, Maquart M, Soulaimane A, Madi Kassim A, Cêtre-Sossah C, Cardinale E.",Evidence for circulation of the rift valley fever virus among livestock in the union of Comoros. ,Comoros,191,-,7.85,-,7.85,-,-,2010,2,0
"Kifaro EG, Nkangaga J, Joshua G, Sallu R, Yongolo M, Dautu G, Kasanga CJ.","Epidemiological study of Rift Valley fever virus in Kigoma, Tanzania.",Tanzania,411,-,4.7,12.5,-,-,-,2011,1,0
"Di Nardo A, Rossi D, Saleh SM, Lejlifa SM, Hamdi SJ, Di Gennaro A, Savini G, Thrusfield MV.","Evidence of Rift Valley fever seroprevalence in the Sahrawi semi-nomadic pastoralist system, Western Sahara. ",Western Sahara,982,0.97,0.97,0.97,-,-,-,2008,1,0
"Lernout T, Cardinale E, Jego M, Desprès P, Collet L, Zumbo B, Tillard E, Girard S, Filleul L.","Rift valley fever in humans and animals in Mayotte, an endemic situation?",Mayotte,198,-,22.4,22.4,26.8,4.1,-,2010,2,0
"Sumaye RD, Geubbels E, Mbeyela E, Berkvens D.","Inter-epidemic transmission of Rift Valley fever in livestock in the Kilombero River Valley, Tanzania: a cross-sectional survey. ",Tanzania ,1680,-,11.86,11.37,11.03,-,-,2011,1,0
"Britch SC, Binepal YS, Ruder MG, Kariithi HM, Linthicum KJ, Anyamba A, Small JL, Tucker CJ, Ateya LO, Oriko AA, Gacheru S, Wilson WC.",Rift Valley fever risk map model and seroprevalence in selected wild ungulates and camels from Kenya.,Kenya,56,7.2,-,-,-,-,-,2000,1,0
" Lagerqvist N, Moiane B, Mapaco L, Fafetine J, Vene S, Falk KI.","Antibodies against Rift Valley fever virus in cattle, Mozambique.",Mozambique,404,-,-,-,36.9,-,-,2010,1,0
" Caron A, Miguel E, Gomo C, Makaya P, Pfukenyi DM, Foggin C, Hove T, de Garine-Wichatitsky M. ",Relationship between burden of infection in ungulate populations and wildlife/livestock interfaces.,Zimbabwe ,120,-,-,-,12.1,-,5.3,2008,1,0
"Cêtre-Sossah C, Pédarrieu A, Guis H, Defernez C, Bouloy M, Favre J, Girard S, Cardinale E, Albina E.","Prevalence of Rift Valley Fever among ruminants, Mayotte.",Mayotte,29,-,13.79,-,-,-,-,2007,1,0
