"q","IAE","Day_of_Extinction","mean_popn_R0","param1"
"0",1e-04,0,NA,0
"0",6e-04,0,NA,0
"0",0.0011,73,NA,0
"0",0.0016,81,NA,0
"0",0.0021,86,NA,0
"0",0.0026,90,NA,0
"0",0.0031,92,NA,0
"0",0.0036,95,NA,0
"0",0.0041,96,NA,0
"0",0.0046,98,NA,0
"0",8e-04,64,NA,0
"0",0.001,71,NA,0
"0.25",1e-04,0,NA,0.25
"0.25",6e-04,0,NA,0.25
"0.25",0.0011,73,NA,0.25
"0.25",0.0016,81,NA,0.25
"0.25",0.0021,86,NA,0.25
"0.25",0.0026,314,NA,0.25
"0.25",0.0031,319,NA,0.25
"0.25",0.0036,323,NA,0.25
"0.25",0.0041,326,NA,0.25
"0.25",0.0046,328,NA,0.25
"0.25",8e-04,64,NA,0.25
"0.25",0.001,71,NA,0.25
"0.5",1e-04,0,NA,0.5
"0.5",6e-04,0,NA,0.5
"0.5",0.0011,73,NA,0.5
"0.5",0.0016,723,NA,0.5
"0.5",0.0021,1066,NA,0.5
"0.5",0.0026,1075,NA,0.5
"0.5",0.0031,1419,NA,0.5
"0.5",0.0036,1427,NA,0.5
"0.5",0.0041,1806,NA,0.5
"0.5",0.0046,1812,NA,0.5
"0.5",8e-04,64,NA,0.5
"0.5",0.001,71,NA,0.5
"0.7444736",1e-04,0,NA,0.7444736
"0.7444736",6e-04,0,NA,0.7444736
"0.7444736",0.0011,12408,NA,0.7444736
"0.7444736",0.0016,12419,NA,0.7444736
"0.7444736",0.0021,12420,NA,0.7444736
"0.7444736",0.0026,12420,NA,0.7444736
"0.7444736",0.0031,12422,NA,0.7444736
"0.7444736",0.0036,12422,NA,0.7444736
"0.7444736",0.0041,12531,NA,0.7444736
"0.7444736",0.0046,12531,NA,0.7444736
"0.7444736",8e-04,64,NA,0.7444736
"0.7444736",0.001,5506,NA,0.7444736
"0.75",1e-04,0,NA,0.75
"0.75",6e-04,0,NA,0.75
"0.75",0.0011,12415,NA,0.75
"0.75",0.0016,12423,NA,0.75
"0.75",0.0021,12424,NA,0.75
"0.75",0.0026,12422,NA,0.75
"0.75",0.0031,12427,NA,0.75
"0.75",0.0036,12531,NA,0.75
"0.75",0.0041,12531,NA,0.75
"0.75",0.0046,12523,NA,0.75
"0.75",8e-04,64,NA,0.75
"0.75",0.001,12408,NA,0.75
"0.99",1e-04,0,NA,0.99
"0.99",6e-04,12385,NA,0.99
"0.99",0.0011,12383,NA,0.99
"0.99",0.0016,12383,NA,0.99
"0.99",0.0021,12382,NA,0.99
"0.99",0.0026,12382,NA,0.99
"0.99",0.0031,12382,NA,0.99
"0.99",0.0036,12382,NA,0.99
"0.99",0.0041,12382,NA,0.99
"0.99",0.0046,12382,NA,0.99
"0.99",8e-04,12383,NA,0.99
"0.99",0.001,12383,NA,0.99
