"q","Tasl","Day_of_Extinction","mean_popn_R0","param1"
"0",0.05,82,NA,0
"0",0.1,84,NA,0
"0",0.15,85,NA,0
"0",0.2,86,NA,0
"0",0.25,88,NA,0
"0",0.3,89,NA,0
"0",0.35,90,NA,0
"0",0.4,92,NA,0
"0",0.45,93,NA,0
"0",0.5,94,NA,0
"0",0.55,96,NA,0
"0",0.6,97,NA,0
"0",0.65,98,NA,0
"0",0.7,99,NA,0
"0",0.75,100,NA,0
"0",0.8,101,NA,0
"0",0.85,103,NA,0
"0",0.9,104,NA,0
"0",0.95,105,NA,0
"0",1,106,NA,0
"0.25",0.05,309,NA,0.25
"0.25",0.1,310,NA,0.25
"0.25",0.15,312,NA,0.25
"0.25",0.2,313,NA,0.25
"0.25",0.25,314,NA,0.25
"0.25",0.3,316,NA,0.25
"0.25",0.35,317,NA,0.25
"0.25",0.4,318,NA,0.25
"0.25",0.45,320,NA,0.25
"0.25",0.5,321,NA,0.25
"0.25",0.55,323,NA,0.25
"0.25",0.6,325,NA,0.25
"0.25",0.65,326,NA,0.25
"0.25",0.7,328,NA,0.25
"0.25",0.75,330,NA,0.25
"0.25",0.8,331,NA,0.25
"0.25",0.85,333,NA,0.25
"0.25",0.9,335,NA,0.25
"0.25",0.95,336,NA,0.25
"0.25",1,730,NA,0.25
"0.5",0.05,730,NA,0.5
"0.5",0.1,731,NA,0.5
"0.5",0.15,1063,NA,0.5
"0.5",0.2,1066,NA,0.5
"0.5",0.25,1069,NA,0.5
"0.5",0.3,1072,NA,0.5
"0.5",0.35,1075,NA,0.5
"0.5",0.4,1412,NA,0.5
"0.5",0.45,1425,NA,0.5
"0.5",0.5,1800,NA,0.5
"0.5",0.55,1815,NA,0.5
"0.5",0.6,2551,NA,0.5
"0.5",0.65,2942,NA,0.5
"0.5",0.7,1627,NA,0.5
"0.5",0.75,2223,NA,0.5
"0.5",0.8,2939,NA,0.5
"0.5",0.85,3969,NA,0.5
"0.5",0.9,9129,NA,0.5
"0.5",0.95,10389,NA,0.5
"0.5",1,9649,NA,0.5
"0.7444736",0.05,2915,NA,0.7444736
"0.7444736",0.1,2925,NA,0.7444736
"0.7444736",0.15,2932,NA,0.7444736
"0.7444736",0.2,4352,NA,0.7444736
"0.7444736",0.25,5504,NA,0.7444736
"0.7444736",0.3,8349,NA,0.7444736
"0.7444736",0.35,12406,NA,0.7444736
"0.7444736",0.4,12419,NA,0.7444736
"0.7444736",0.45,12527,NA,0.7444736
"0.7444736",0.5,12431,NA,0.7444736
"0.7444736",0.55,12422,NA,0.7444736
"0.7444736",0.6,12416,NA,0.7444736
"0.7444736",0.65,12412,NA,0.7444736
"0.7444736",0.7,12408,NA,0.7444736
"0.7444736",0.75,12405,NA,0.7444736
"0.7444736",0.8,12403,NA,0.7444736
"0.7444736",0.85,12400,NA,0.7444736
"0.7444736",0.9,12399,NA,0.7444736
"0.7444736",0.95,12397,NA,0.7444736
"0.7444736",1,12396,NA,0.7444736
"0.75",0.05,2918,NA,0.75
"0.75",0.1,2926,NA,0.75
"0.75",0.15,3237,NA,0.75
"0.75",0.2,4356,NA,0.75
"0.75",0.25,6206,NA,0.75
"0.75",0.3,9453,NA,0.75
"0.75",0.35,12407,NA,0.75
"0.75",0.4,12421,NA,0.75
"0.75",0.45,12509,NA,0.75
"0.75",0.5,12428,NA,0.75
"0.75",0.55,12420,NA,0.75
"0.75",0.6,12415,NA,0.75
"0.75",0.65,12411,NA,0.75
"0.75",0.7,12407,NA,0.75
"0.75",0.75,12404,NA,0.75
"0.75",0.8,12402,NA,0.75
"0.75",0.85,12400,NA,0.75
"0.75",0.9,12398,NA,0.75
"0.75",0.95,12396,NA,0.75
"0.75",1,12395,NA,0.75
"0.99",0.05,12417,NA,0.99
"0.99",0.1,12419,NA,0.99
"0.99",0.15,12406,NA,0.99
"0.99",0.2,12394,NA,0.99
"0.99",0.25,12389,NA,0.99
"0.99",0.3,12385,NA,0.99
"0.99",0.35,12383,NA,0.99
"0.99",0.4,12382,NA,0.99
"0.99",0.45,12381,NA,0.99
"0.99",0.5,12381,NA,0.99
"0.99",0.55,12381,NA,0.99
"0.99",0.6,12380,NA,0.99
"0.99",0.65,12380,NA,0.99
"0.99",0.7,12380,NA,0.99
"0.99",0.75,12381,NA,0.99
"0.99",0.8,12381,NA,0.99
"0.99",0.85,12381,NA,0.99
"0.99",0.9,12381,NA,0.99
"0.99",0.95,12381,NA,0.99
"0.99",1,12382,NA,0.99
