"q","vax","Day_of_Extinction","mean_popn_R0","param1","PropVax"
"0",0,92,NA,0,0
"0",0.000284210526315789,90,NA,0,0.05
"0",6e-04,87,NA,0,0.1
"0",0.000952941176470588,84,NA,0,0.15
"0",0.00135,81,NA,0,0.2
"0",0.0018,78,NA,0,0.25
"0",0.00231428571428571,75,NA,0,0.3
"0",0.0036,67,NA,0,0.4
"0",0.0054,0,NA,0,0.5
"0",0.0081,0,NA,0,0.6
"0",0.0126,0,NA,0,0.7
"0",0.0216,0,NA,0,0.8
"0",0.0486,0,NA,0,0.9
"0",0.5346,0,NA,0,0.99
"0.25",0,319,NA,0.25,0
"0.25",0.000284210526315789,315,NA,0.25,0.05
"0.25",6e-04,311,NA,0.25,0.1
"0.25",0.000952941176470588,84,NA,0.25,0.15
"0.25",0.00135,81,NA,0.25,0.2
"0.25",0.0018,78,NA,0.25,0.25
"0.25",0.00231428571428571,75,NA,0.25,0.3
"0.25",0.0036,67,NA,0.25,0.4
"0.25",0.0054,0,NA,0.25,0.5
"0.25",0.0081,0,NA,0.25,0.6
"0.25",0.0126,0,NA,0.25,0.7
"0.25",0.0216,0,NA,0.25,0.8
"0.25",0.0486,0,NA,0.25,0.9
"0.25",0.5346,0,NA,0.25,0.99
"0.5",0,1416,NA,0.5,0
"0.5",0.000284210526315789,1076,NA,0.5,0.05
"0.5",6e-04,1071,NA,0.5,0.1
"0.5",0.000952941176470588,1067,NA,0.5,0.15
"0.5",0.00135,732,NA,0.5,0.2
"0.5",0.0018,728,NA,0.5,0.25
"0.5",0.00231428571428571,722,NA,0.5,0.3
"0.5",0.0036,67,NA,0.5,0.4
"0.5",0.0054,0,NA,0.5,0.5
"0.5",0.0081,0,NA,0.5,0.6
"0.5",0.0126,0,NA,0.5,0.7
"0.5",0.0216,0,NA,0.5,0.8
"0.5",0.0486,0,NA,0.5,0.9
"0.5",0.5346,0,NA,0.5,0.99
"0.7444736",0,12422,NA,0.7444736,0
"0.7444736",0.000284210526315789,12414,NA,0.7444736,0.05
"0.7444736",6e-04,12408,NA,0.7444736,0.1
"0.7444736",0.000952941176470588,12398,NA,0.7444736,0.15
"0.7444736",0.00135,7650,NA,0.7444736,0.2
"0.7444736",0.0018,5502,NA,0.7444736,0.25
"0.7444736",0.00231428571428571,3960,NA,0.7444736,0.3
"0.7444736",0.0036,2919,NA,0.7444736,0.4
"0.7444736",0.0054,1065,NA,0.7444736,0.5
"0.7444736",0.0081,0,NA,0.7444736,0.6
"0.7444736",0.0126,0,NA,0.7444736,0.7
"0.7444736",0.0216,0,NA,0.7444736,0.8
"0.7444736",0.0486,0,NA,0.7444736,0.9
"0.7444736",0.5346,0,NA,0.7444736,0.99
"0.75",0,12425,NA,0.75,0
"0.75",0.000284210526315789,12417,NA,0.75,0.05
"0.75",6e-04,12411,NA,0.75,0.1
"0.75",0.000952941176470588,12406,NA,0.75,0.15
"0.75",0.00135,8347,NA,0.75,0.2
"0.75",0.0018,6205,NA,0.75,0.25
"0.75",0.00231428571428571,4357,NA,0.75,0.3
"0.75",0.0036,2923,NA,0.75,0.4
"0.75",0.0054,1066,NA,0.75,0.5
"0.75",0.0081,0,NA,0.75,0.6
"0.75",0.0126,0,NA,0.75,0.7
"0.75",0.0216,0,NA,0.75,0.8
"0.75",0.0486,0,NA,0.75,0.9
"0.75",0.5346,0,NA,0.75,0.99
"0.99",0,12382,NA,0.99,0
"0.99",0.000284210526315789,12383,NA,0.99,0.05
"0.99",6e-04,12384,NA,0.99,0.1
"0.99",0.000952941176470588,12385,NA,0.99,0.15
"0.99",0.00135,12386,NA,0.99,0.2
"0.99",0.0018,12387,NA,0.99,0.25
"0.99",0.00231428571428571,12389,NA,0.99,0.3
"0.99",0.0036,12394,NA,0.99,0.4
"0.99",0.0054,12402,NA,0.99,0.5
"0.99",0.0081,12407,NA,0.99,0.6
"0.99",0.0126,12405,NA,0.99,0.7
"0.99",0.0216,5488,NA,0.99,0.8
"0.99",0.0486,0,NA,0.99,0.9
"0.99",0.5346,0,NA,0.99,0.99
