"q","muC","Mean_Annual_Seroprevalence","mean_popn_R0","param1"
"0",0.0565003,0.0206379171169853,NA,0
"0",0.01,0.0206809405646443,NA,0
"0",0.035,0.0206414951117516,NA,0
"0",0.06,0.0206376795252547,NA,0
"0",0.085,0.0206368477526667,NA,0
"0",0.11,0.0206366043609261,NA,0
"0",0.135,0.0206365237552433,NA,0
"0",0.16,0.0206364920442499,NA,0
"0",0.185,0.0206364798427159,NA,0
"0",0.21,0.0206364738553874,NA,0
"0",0.235,0.0206364722025227,NA,0
"0",0.26,0.020636472046882,NA,0
"0",0.285,0.0206364682405287,NA,0
"0",0.31,0.0206364696780752,NA,0
"0.25",0.0565003,0.0214690723637782,NA,0.25
"0.25",0.01,0.102909834821778,NA,0.25
"0.25",0.035,0.0214781453653593,NA,0.25
"0.25",0.06,0.0214688065568166,NA,0.25
"0.25",0.085,0.0214679429288872,NA,0.25
"0.25",0.11,0.0214677121029472,NA,0.25
"0.25",0.135,0.0214676196161878,NA,0.25
"0.25",0.16,0.0214675927418355,NA,0.25
"0.25",0.185,0.0214675803203187,NA,0.25
"0.25",0.21,0.021467572669647,NA,0.25
"0.25",0.235,0.0214675684143113,NA,0.25
"0.25",0.26,0.02146756581272,NA,0.25
"0.25",0.285,0.0214675684877547,NA,0.25
"0.25",0.31,0.0214675673018701,NA,0.25
"0.5",0.0565003,0.0245813655191634,NA,0.5
"0.5",0.01,0.103540673957644,NA,0.5
"0.5",0.035,0.0735289129955587,NA,0.5
"0.5",0.06,0.0245771948041815,NA,0.5
"0.5",0.085,0.0245733338675565,NA,0.5
"0.5",0.11,0.0245730623640862,NA,0.5
"0.5",0.135,0.0245729722131783,NA,0.5
"0.5",0.16,0.0245729474380173,NA,0.5
"0.5",0.185,0.0245729432705243,NA,0.5
"0.5",0.21,0.0245729208328862,NA,0.5
"0.5",0.235,0.0245729244271582,NA,0.5
"0.5",0.26,0.0245729190785763,NA,0.5
"0.5",0.285,0.0245729269655394,NA,0.5
"0.5",0.31,0.0245729213559175,NA,0.5
"0.7444736",0.0565003,0.274274875457765,NA,0.7444736
"0.7444736",0.01,0.735584624039428,NA,0.7444736
"0.7444736",0.035,0.194046293549792,NA,0.7444736
"0.7444736",0.06,0.278221730565458,NA,0.7444736
"0.7444736",0.085,0.194566480350007,NA,0.7444736
"0.7444736",0.11,0.193413493147606,NA,0.7444736
"0.7444736",0.135,0.193265386514712,NA,0.7444736
"0.7444736",0.16,0.19322641553169,NA,0.7444736
"0.7444736",0.185,0.193213525074595,NA,0.7444736
"0.7444736",0.21,0.193209520804926,NA,0.7444736
"0.7444736",0.235,0.193207534298669,NA,0.7444736
"0.7444736",0.26,0.193206823241221,NA,0.7444736
"0.7444736",0.285,0.193206880193684,NA,0.7444736
"0.7444736",0.31,0.193206657053028,NA,0.7444736
"0.75",0.0565003,0.2874582702522,NA,0.75
"0.75",0.01,0.749121224621997,NA,0.75
"0.75",0.035,0.194379845810484,NA,0.75
"0.75",0.06,0.282904299790561,NA,0.75
"0.75",0.085,0.221347791977363,NA,0.75
"0.75",0.11,0.220600664634805,NA,0.75
"0.75",0.135,0.220485118601296,NA,0.75
"0.75",0.16,0.22045328836064,NA,0.75
"0.75",0.185,0.220443121341088,NA,0.75
"0.75",0.21,0.220438990001481,NA,0.75
"0.75",0.235,0.22043754742238,NA,0.75
"0.75",0.26,0.220437042527983,NA,0.75
"0.75",0.285,0.220436801160332,NA,0.75
"0.75",0.31,0.220436465933353,NA,0.75
"0.99",0.0565003,0.689421686258609,NA,0.99
"0.99",0.01,0.751395862488982,NA,0.99
"0.99",0.035,0.747330250040562,NA,0.99
"0.99",0.06,0.689248631883296,NA,0.99
"0.99",0.085,0.681231365163962,NA,0.99
"0.99",0.11,0.681225162876224,NA,0.99
"0.99",0.135,0.681223659067474,NA,0.99
"0.99",0.16,0.681223370838366,NA,0.99
"0.99",0.185,0.681223460408564,NA,0.99
"0.99",0.21,0.681223339035849,NA,0.99
"0.99",0.235,0.681223419181506,NA,0.99
"0.99",0.26,0.68122351385407,NA,0.99
"0.99",0.285,0.681223384674677,NA,0.99
"0.99",0.31,0.681223476652856,NA,0.99
