"Mean_Seroprevalence","Extinction_Day","Parameter_Value","Parameter_Tested"
0.026553102935762,2224,0,"Tasl"
0.027972485758122,2915,0.05,"Tasl"
0.0299390168086273,2925,0.1,"Tasl"
0.0326159727923775,2932,0.15,"Tasl"
0.0372916358068868,4352,0.2,"Tasl"
0.0454423209433695,5504,0.25,"Tasl"
0.0629902517929019,8349,0.3,"Tasl"
0.141839439971666,12406,0.35,"Tasl"
0.2127399560002,12419,0.4,"Tasl"
0.295383569296535,12527,0.45,"Tasl"
0.370439224307417,12431,0.5,"Tasl"
0.431783314632499,12422,0.55,"Tasl"
0.493065212805048,12416,0.6,"Tasl"
0.539558415153784,12412,0.65,"Tasl"
0.575355852638357,12408,0.7,"Tasl"
0.60702492234575,12405,0.75,"Tasl"
0.63236741942227,12403,0.8,"Tasl"
0.65315007766513,12400,0.85,"Tasl"
0.670245952674797,12399,0.9,"Tasl"
0.684612780479356,12397,0.95,"Tasl"
0.698313849842412,12396,1,"Tasl"
0.228141163697992,12422,0.41,"Tasl"
