"Mean_Seroprevalence","Extinction_Day","Parameter_Value","Parameter_Tested"
0.0177536140958998,0,0,"Tsla"
0.0203192567824974,65,0.05,"Tsla"
0.0324393957893878,3957,0.1,"Tsla"
0.191535146993889,12413,0.15,"Tsla"
0.412743840055109,12426,0.2,"Tsla"
0.567113968190077,12411,0.25,"Tsla"
0.657646356298031,12403,0.3,"Tsla"
0.710509614328201,12397,0.35,"Tsla"
0.742113061796939,12394,0.4,"Tsla"
0.762503602491408,12391,0.45,"Tsla"
0.77641847897819,12390,0.5,"Tsla"
0.786340779560177,12388,0.55,"Tsla"
0.793659347086676,12387,0.6,"Tsla"
0.799196850783847,12386,0.65,"Tsla"
0.803474174433169,12386,0.7,"Tsla"
0.806828499460233,12385,0.75,"Tsla"
0.809491216804728,12384,0.8,"Tsla"
0.811623914941077,12384,0.85,"Tsla"
0.813345371664784,12383,0.9,"Tsla"
0.814743913360137,12383,0.95,"Tsla"
0.815885776008501,12383,1,"Tsla"
0.228141163697992,12422,0.16,"Tsla"
