"Mean_Seroprevalence","Extinction_Day","Parameter_Value","Parameter_Tested"
0.0265523525812904,2224,0,"epsilon"
0.0708648195657621,10208,0.05,"epsilon"
0.298646613314912,12531,0.1,"epsilon"
0.416881457238231,12432,0.15,"epsilon"
0.471175231450879,12420,0.2,"epsilon"
0.507116232424789,12415,0.25,"epsilon"
0.530382085727205,12412,0.3,"epsilon"
0.548380377716934,12411,0.35,"epsilon"
0.561696156260209,12409,0.4,"epsilon"
0.572702863169047,12408,0.45,"epsilon"
0.580773510323176,12408,0.5,"epsilon"
0.587418651554219,12407,0.55,"epsilon"
0.593091608644471,12406,0.6,"epsilon"
0.599147488459669,12406,0.65,"epsilon"
0.603193362755397,12406,0.7,"epsilon"
0.606679609768295,12405,0.75,"epsilon"
0.609721510940562,12405,0.8,"epsilon"
0.612397765277436,12405,0.85,"epsilon"
0.614767795607877,12405,0.9,"epsilon"
0.616886289059644,12404,0.95,"epsilon"
0.61878898087429,12404,1,"epsilon"
0.228141163697992,12422,0.083,"epsilon"
