"Mean_Seroprevalence","Extinction_Day","Parameter_Value","Parameter_Tested"
0.0206375113055974,92,0,"q"
0.0207401116333947,92,0.05,"q"
0.0208555369703573,92,0.1,"q"
0.0209860445681859,92,0.15,"q"
0.0211944707575766,311,0.2,"q"
0.021468630019479,319,0.25,"q"
0.0217242500223435,323,0.3,"q"
0.022080476711815,725,0.35,"q"
0.0226130523777355,734,0.4,"q"
0.0233049929234883,1071,0.45,"q"
0.0245755560621823,1416,0.5,"q"
0.0267949102505513,2217,0.55,"q"
0.0322479398693875,2936,0.6,"q"
0.0436145864210634,4682,0.65,"q"
0.0971414819858329,10208,0.7,"q"
0.245546302858499,12425,0.75,"q"
0.381150451218554,12425,0.8,"q"
0.50599036689988,12409,0.85,"q"
0.597711976582206,12396,0.9,"q"
0.656858652200735,12387,0.95,"q"
0.691638933826934,12381,1,"q"
0.228141163697992,12422,0.7444736,"q"
