"q","Tasl","Day_of_Extinction","mean_popn_R0","param1"
"0",0.05,79,NA,0
"0",0.1,81,NA,0
"0",0.15,82,NA,0
"0",0.2,84,NA,0
"0",0.25,86,NA,0
"0",0.3,88,NA,0
"0",0.35,89,NA,0
"0",0.4,91,NA,0
"0",0.45,93,NA,0
"0",0.5,94,NA,0
"0",0.55,96,NA,0
"0",0.6,97,NA,0
"0",0.65,99,NA,0
"0",0.7,100,NA,0
"0",0.75,102,NA,0
"0",0.8,103,NA,0
"0",0.85,104,NA,0
"0",0.9,106,NA,0
"0",0.95,107,NA,0
"0",1,108,NA,0
"0.1",0.05,79,NA,0.1
"0.1",0.1,81,NA,0.1
"0.1",0.15,82,NA,0.1
"0.1",0.2,84,NA,0.1
"0.1",0.25,86,NA,0.1
"0.1",0.3,88,NA,0.1
"0.1",0.35,89,NA,0.1
"0.1",0.4,91,NA,0.1
"0.1",0.45,93,NA,0.1
"0.1",0.5,94,NA,0.1
"0.1",0.55,96,NA,0.1
"0.1",0.6,97,NA,0.1
"0.1",0.65,99,NA,0.1
"0.1",0.7,100,NA,0.1
"0.1",0.75,102,NA,0.1
"0.1",0.8,103,NA,0.1
"0.1",0.85,104,NA,0.1
"0.1",0.9,106,NA,0.1
"0.1",0.95,107,NA,0.1
"0.1",1,108,NA,0.1
"0.2",0.05,79,NA,0.2
"0.2",0.1,81,NA,0.2
"0.2",0.15,82,NA,0.2
"0.2",0.2,84,NA,0.2
"0.2",0.25,86,NA,0.2
"0.2",0.3,88,NA,0.2
"0.2",0.35,89,NA,0.2
"0.2",0.4,91,NA,0.2
"0.2",0.45,309,NA,0.2
"0.2",0.5,313,NA,0.2
"0.2",0.55,316,NA,0.2
"0.2",0.6,318,NA,0.2
"0.2",0.65,321,NA,0.2
"0.2",0.7,324,NA,0.2
"0.2",0.75,326,NA,0.2
"0.2",0.8,329,NA,0.2
"0.2",0.85,331,NA,0.2
"0.2",0.9,334,NA,0.2
"0.2",0.95,336,NA,0.2
"0.2",1,338,NA,0.2
"0.3",0.05,310,NA,0.3
"0.3",0.1,311,NA,0.3
"0.3",0.15,313,NA,0.3
"0.3",0.2,314,NA,0.3
"0.3",0.25,316,NA,0.3
"0.3",0.3,318,NA,0.3
"0.3",0.35,320,NA,0.3
"0.3",0.4,322,NA,0.3
"0.3",0.45,324,NA,0.3
"0.3",0.5,326,NA,0.3
"0.3",0.55,328,NA,0.3
"0.3",0.6,330,NA,0.3
"0.3",0.65,332,NA,0.3
"0.3",0.7,730,NA,0.3
"0.3",0.75,738,NA,0.3
"0.3",0.8,743,NA,0.3
"0.3",0.85,747,NA,0.3
"0.3",0.9,751,NA,0.3
"0.3",0.95,1087,NA,0.3
"0.3",1,1094,NA,0.3
"0.4",0.05,315,NA,0.4
"0.4",0.1,317,NA,0.4
"0.4",0.15,318,NA,0.4
"0.4",0.2,320,NA,0.4
"0.4",0.25,322,NA,0.4
"0.4",0.3,724,NA,0.4
"0.4",0.35,728,NA,0.4
"0.4",0.4,731,NA,0.4
"0.4",0.45,735,NA,0.4
"0.4",0.5,739,NA,0.4
"0.4",0.55,1070,NA,0.4
"0.4",0.6,1079,NA,0.4
"0.4",0.65,1086,NA,0.4
"0.4",0.7,1436,NA,0.4
"0.4",0.75,1822,NA,0.4
"0.4",0.8,1628,NA,0.4
"0.4",0.85,1626,NA,0.4
"0.4",0.9,1624,NA,0.4
"0.4",0.95,2954,NA,0.4
"0.4",1,6599,NA,0.4
"0.5",0.05,725,NA,0.5
"0.5",0.1,727,NA,0.5
"0.5",0.15,729,NA,0.5
"0.5",0.2,732,NA,0.5
"0.5",0.25,1064,NA,0.5
"0.5",0.3,1070,NA,0.5
"0.5",0.35,1075,NA,0.5
"0.5",0.4,1411,NA,0.5
"0.5",0.45,1430,NA,0.5
"0.5",0.5,2225,NA,0.5
"0.5",0.55,2943,NA,0.5
"0.5",0.6,3971,NA,0.5
"0.5",0.65,3248,NA,0.5
"0.5",0.7,7672,NA,0.5
"0.5",0.75,9650,NA,0.5
"0.5",0.8,12531,NA,0.5
"0.5",0.85,12462,NA,0.5
"0.5",0.9,12435,NA,0.5
"0.5",0.95,12427,NA,0.5
"0.5",1,12423,NA,0.5
"0.6",0.05,1066,NA,0.6
"0.6",0.1,1069,NA,0.6
"0.6",0.15,1072,NA,0.6
"0.6",0.2,1416,NA,0.6
"0.6",0.25,1801,NA,0.6
"0.6",0.3,2226,NA,0.6
"0.6",0.35,2932,NA,0.6
