"q","biteA","Mean_Annual_Seroprevalence","R0_when_q0","param1","Persistence","mean_popn_R0","Persist_long","Persist_year"
"0",0.01,0.0178843006681837,0.722451859693402,0,0,0.722451859693402,"no","no"
"0",0.02,0.0180143826517247,0.724540522899575,0,0,0.724540522899575,"no","no"
"0",0.03,0.0181438603015917,0.728004631065874,0,0,0.728004631065874,"no","no"
"0",0.04,0.0182827964899191,0.732825146594599,0,60,0.732825146594599,"no","no"
"0",0.05,0.0184304166699295,0.73897555868539,0,65,0.73897555868539,"no","no"
"0",0.06,0.0185866737533851,0.746423119602634,0,69,0.746423119602634,"no","no"
"0",0.07,0.0187545952798935,0.755129812235721,0,73,0.755129812235721,"no","no"
"0",0.08,0.0189766805465279,0.765052739956296,0,77,0.765052739956296,"no","no"
"0",0.09,0.0191835103935797,0.776145617168594,0,80,0.776145617168594,"no","no"
"0",0.1,0.0194116226264039,0.788359308572485,0,84,0.788359308572485,"no","no"
"0",0.11,0.0196646221074561,0.801643097897471,0,88,0.801643097897471,"no","no"
"0",0.12,0.0200628372051143,0.815945036703529,0,91,0.815945036703529,"no","no"
"0",0.13,0.0205620678399701,0.831213167082112,0,95,0.831213167082112,"no","no"
"0",0.14,0.0211292729008779,0.847395777415818,0,98,0.847395777415818,"no","no"
"0",0.15,0.0217737254542166,0.864442165754515,0,102,0.864442165754515,"no","no"
"0",0.16,0.0225054770367955,0.882303289291038,0,105,0.882303289291038,"no","no"
"0",0.17,0.0233348559459473,0.90093141751557,0,108,0.90093141751557,"no","no"
"0",0.18,0.0242723158506639,0.920280770936715,0,112,0.920280770936715,"no","no"
"0",0.19,0.0257931982760548,0.940324453229364,0,116,0.940324453229364,"no","no"
"0",0.2,0.0273785820207881,0.961000848794107,0,119,0.961000848794107,"no","no"
"0",0.21,0.0289988592968943,0.982274876376277,0,122,0.982274876376277,"no","no"
"0",0.22,0.0307625550922354,1.00411126087694,0,124,1.00411126087694,"no","yes"
"0",0.23,0.0326691209700115,1.02647562694986,0,126,1.02647562694986,"no","yes"
"0",0.24,0.0346989304063095,1.04933546146558,0,128,1.04933546146558,"no","yes"
"0",0.25,0.0368168411581993,1.07265919314101,0,129,1.07265919314101,"no","yes"
"0",0.26,0.0389751031553552,1.09641712841973,0,129,1.09641712841973,"no","yes"
"0",0.27,0.0411164620521064,1.1205803954871,0,129,1.1205803954871,"no","yes"
"0",0.28,0.0431803145775241,1.14512174591402,0,129,1.14512174591402,"no","yes"
"0",0.29,0.0451090017546058,1.170015361714,0,128,1.170015361714,"no","yes"
"0",0.3,0.0468555788686428,1.19523645769521,0,126,1.19523645769521,"no","yes"
"0",0.31,0.0483878961105708,1.22076218998543,0,124,1.22076218998543,"no","yes"
"0",0.32,0.0496936409824348,1.24657220602298,0,122,1.24657220602298,"no","yes"
"0",0.33,0.0507761977521383,1.27264732238755,0,119,1.27264732238755,"no","yes"
"0",0.34,0.0516530694610731,1.29897098410439,0,117,1.29897098410439,"no","yes"
"0",0.35,0.0523500264821238,1.32552801765679,0,113,1.32552801765679,"no","yes"
"0",0.36,0.0528963046314296,1.35230507454283,0,110,1.35230507454283,"no","yes"
"0",0.37,0.0533213653307409,1.37928946696487,0,107,1.37928946696487,"no","yes"
"0",0.38,0.0536506603233597,1.40647006871096,0,104,1.40647006871096,"no","yes"
"0",0.39,0.0539062656373767,1.4338365665043,0,102,1.4338365665043,"no","yes"
"0",0.4,0.0541059712202747,1.4613788246518,0,99,1.4613788246518,"no","yes"
"0",0.41,0.0542641309302451,1.48908778118075,0,97,1.48908778118075,"no","yes"
