"q","muC","Mean_Annual_Seroprevalence","mean_popn_R0","R0_when_q0","param1","Persistence","Persist_long","Persist_year"
"0",0.01,0.0200803771459157,7.11316614421455,7.11316614421455,0,91,"No","Yes"
"0",0.035,0.020064439612749,1.66268150066326,1.66268150066326,0,91,"No","Yes"
"0",0.06,0.020062907060739,0.858824062038086,0.858824062038086,0,91,"No","No"
"0",0.085,0.020062571264694,0.612459282705191,0.612459282705191,0,91,"No","No"
"0",0.11,0.0200624746789987,0.506071852039926,0.506071852039926,0,91,"No","No"
"0",0.135,0.0200624395839316,0.451679131427145,0.451679131427145,0,91,"No","No"
"0",0.16,0.0200624312436346,0.422457340099559,0.422457340099559,0,91,"No","No"
"0",0.185,0.0200624191338587,0.406184050983171,0.406184050983171,0,91,"No","No"
"0",0.21,0.0200624168266857,0.397098262904405,0.397098262904405,0,91,"No","No"
"0.1",0.01,0.0202578524760523,7.11345733334848,7.11331229809458,0.1,91,"No","Yes"
"0.1",0.035,0.0202419415772536,1.66549311825149,1.66271564946112,0.1,91,"No","Yes"
"0.1",0.06,0.0202404119348643,0.869718342050525,0.858841709118141,0.1,91,"No","No"
"0.1",0.085,0.0202400760975205,0.634201619303359,0.612471966123601,0.1,91,"No","No"
"0.1",0.11,0.0202399820263754,0.537753647827058,0.506083629673732,0.1,91,"No","No"
"0.1",0.135,0.0202399455504566,0.490954663742284,0.451686752010242,0.1,91,"No","No"
"0.1",0.16,0.020239933270341,0.466830695414182,0.422470196270591,0.1,91,"No","No"
"0.1",0.185,0.0202399336541505,0.453777827927558,0.406212968566191,0.1,91,"No","No"
"0.1",0.21,0.0202399287128643,0.446593872175434,0.397105606370642,0.1,91,"No","No"
"0.2",0.01,0.0204841382865055,7.11378674476195,7.11349248810648,0.2,91,"No","Yes"
"0.2",0.035,0.020468267676883,1.6686734506832,1.66275774105094,0.2,91,"No","Yes"
"0.2",0.06,0.0204667392403769,0.883183520165009,0.858863412002883,0.2,91,"No","No"
"0.2",0.085,0.0204664072155535,0.661690288034728,0.612488406455958,0.2,91,"No","No"
"0.2",0.11,0.0204663063348744,0.576984351437148,0.506095336576108,0.2,91,"No","No"
"0.2",0.135,0.0204662779897255,0.538168650661334,0.451701493622504,0.2,91,"No","No"
"0.2",0.16,0.0204662592456587,0.518897316908926,0.422481692918771,0.2,91,"No","No"
"0.2",0.185,0.0204662590719435,0.508694153695434,0.406209468153091,0.2,91,"No","No"
"0.2",0.21,0.0204662520928073,0.503165430849568,0.397116975418123,0.2,91,"No","No"
"0.3",0.01,0.101821199513786,7.28617324675978,7.28572585979104,0.3,1041,"No","Yes"
"0.3",0.035,0.0210109816798681,1.67233766525946,1.66285083126676,0.3,322,"No","Yes"
"0.3",0.06,0.0210041564529592,0.900050309642332,0.858910898825753,0.3,322,"No","No"
"0.3",0.085,0.0210037894083208,0.696248372892066,0.61252016574004,0.3,322,"No","No"
"0.3",0.11,0.0210036965940847,0.624483519165987,0.506125700825779,0.3,322,"No","No"
"0.3",0.135,0.0210036650359813,0.593358475992964,0.451730104903359,0.3,322,"No","No"
"0.3",0.16,0.021003649902263,0.57836062007006,0.422506673075884,0.3,322,"No","No"
"0.3",0.185,0.0210036488547618,0.570533986205667,0.406210702950436,0.3,322,"No","No"
"0.3",0.21,0.0210036449615006,0.566345070648368,0.397140410673767,0.3,322,"No","No"
"0.4",0.01,0.101884452864155,7.28714039697342,7.28653524271875,0.4,1041,"No","Yes"
"0.4",0.035,0.0219523694832,1.67658740795193,1.66300496811887,0.4,736,"No","Yes"
"0.4",0.06,0.0217755607707021,0.921359738106924,0.858976544003721,0.4,732,"No","No"
"0.4",0.085,0.0217749666868134,0.738962965505072,0.612568260305117,0.4,732,"No","No"
"0.4",0.11,0.0217748709828118,0.680287046815158,0.506164923012333,0.4,732,"No","No"
"0.4",0.135,0.0217748345271082,0.655971895792409,0.451760549720001,0.4,732,"No","No"
"0.4",0.16,0.0217748256333968,0.644491355530775,0.422534422324109,0.4,732,"No","No"
