"q","biteA","Mean_Annual_Seroprevalence","mean_popn_R0","param1"
"0",0.05,0.0184304166700339,NA,0
"0",0.075,0.0188802299595567,NA,0
"0",0.1,0.0194116225476586,NA,0
"0",0.125,0.0203045458636489,NA,0
"0",0.15,0.0217737254545785,NA,0
"0",0.175,0.0237894180057148,NA,0
"0",0.2,0.0273785820208165,NA,0
"0",0.225,0.0316987603362267,NA,0
"0",0.25,0.0368168411586521,NA,0
"0",0.275,0.0421617369718069,NA,0
"0",0.3,0.0468555788682896,NA,0
"0",0.325,0.0502619776080149,NA,0
"0",0.35,0.0523500264818129,NA,0
"0",0.375,0.0534965126005109,NA,0
"0",0.4,0.0541059712206188,NA,0
"0",0.425,0.0544455725389149,NA,0
"0",0.45,0.0546536714410926,NA,0
"0",0.475,0.054796186624031,NA,0
"0",0.5,0.0549024129358272,NA,0
"0",0.525,0.0549882870252957,NA,0
"0",0.55,0.0550608395995035,NA,0
"0",0.575,0.0551243526694846,NA,0
"0",0.6,0.0551816067253319,NA,0
"0",0.625,0.0552346906985571,NA,0
"0",0.65,0.0552845638919703,NA,0
"0",0.675,0.0553315858036164,NA,0
"0",0.7,0.0553764641881921,NA,0
"0",0.725,0.055420456269191,NA,0
"0",0.75,0.0554618201015914,NA,0
"0",0.775,0.0555034075030631,NA,0
"0",0.8,0.0555426802744262,NA,0
"0",0.825,0.0555818764180527,NA,0
"0",0.85,0.0556197660713993,NA,0
"0",0.875,0.0556563568828718,NA,0
"0",0.9,0.0556932903231918,NA,0
"0",0.925,0.055728896560035,NA,0
"0",0.95,0.0557633889733128,NA,0
"0",0.975,0.0557982274501418,NA,0
"0",1,0.0558322607214738,NA,0
"0.1",0.05,0.0184887132637378,NA,0.1
"0.1",0.075,0.0189733455295163,NA,0.1
"0.1",0.1,0.0195470359410297,NA,0.1
"0.1",0.125,0.0204938521976069,NA,0.1
"0.1",0.15,0.0220321261821026,NA,0.1
"0.1",0.175,0.0244676614118194,NA,0.1
"0.1",0.2,0.028455025648435,NA,0.1
"0.1",0.225,0.0332775550086877,NA,0.1
"0.1",0.25,0.038882655670765,NA,0.1
"0.1",0.275,0.0471219696870373,NA,0.1
"0.1",0.3,0.0545628530542145,NA,0.1
"0.1",0.325,0.0725886844740248,NA,0.1
"0.1",0.35,0.179719791520695,NA,0.1
"0.1",0.375,0.722295083195941,NA,0.1
"0.1",0.4,0.778155160285232,NA,0.1
"0.1",0.425,0.798242862311047,NA,0.1
"0.1",0.45,0.807662702005757,NA,0.1
"0.1",0.475,0.812685046959023,NA,0.1
"0.1",0.5,0.815603312684092,NA,0.1
"0.1",0.525,0.817411579077046,NA,0.1
"0.1",0.55,0.818579602186886,NA,0.1
"0.1",0.575,0.819358461173508,NA,0.1
"0.1",0.6,0.819879622838099,NA,0.1
"0.1",0.625,0.820243499023579,NA,0.1
"0.1",0.65,0.820490506110188,NA,0.1
"0.1",0.675,0.820655767782023,NA,0.1
"0.1",0.7,0.820761904066156,NA,0.1
"0.1",0.725,0.820829073218669,NA,0.1
"0.1",0.75,0.820863591241757,NA,0.1
"0.1",0.775,0.8208746011097,NA,0.1
"0.1",0.8,0.820865905153709,NA,0.1
"0.1",0.825,0.820844628628179,NA,0.1
"0.1",0.85,0.820814287346242,NA,0.1
"0.1",0.875,0.820768005558895,NA,0.1
"0.1",0.9,0.820722138329826,NA,0.1
"0.1",0.925,0.820670447368095,NA,0.1
"0.1",0.95,0.820607921382591,NA,0.1
"0.1",0.975,0.820546800782322,NA,0.1
"0.1",1,0.820484131330696,NA,0.1
"0.2",0.05,0.0185629505194158,NA,0.2
"0.2",0.075,0.0190919627884948,NA,0.2
"0.2",0.1,0.0197196655251429,NA,0.2
"0.2",0.125,0.020822671548095,NA,0.2
"0.2",0.15,0.0227587674521084,NA,0.2
"0.2",0.175,0.0253325716792058,NA,0.2
"0.2",0.2,0.0306401330764976,NA,0.2
"0.2",0.225,0.0402531407434148,NA,0.2
"0.2",0.25,0.07974176656261,NA,0.2
"0.2",0.275,0.358188508244569,NA,0.2
"0.2",0.3,0.674686337258542,NA,0.2
"0.2",0.325,0.750102727577835,NA,0.2
"0.2",0.35,0.783510166437742,NA,0.2
"0.2",0.375,0.799425406626396,NA,0.2
"0.2",0.4,0.807785746170781,NA,0.2
"0.2",0.425,0.812546158813124,NA,0.2
"0.2",0.45,0.815434988478127,NA,0.2
"0.2",0.475,0.817281447079922,NA,0.2
"0.2",0.5,0.818496194959602,NA,0.2
"0.2",0.525,0.819321078505854,NA,0.2
"0.2",0.55,0.819887551894327,NA,0.2
"0.2",0.575,0.820280413998439,NA,0.2
"0.2",0.6,0.820556228690581,NA,0.2
"0.2",0.625,0.820741770484832,NA,0.2
"0.2",0.65,0.820872198741573,NA,0.2
"0.2",0.675,0.820952911513992,NA,0.2
"0.2",0.7,0.820999569244295,NA,0.2
"0.2",0.725,0.821023321195291,NA,0.2
"0.2",0.75,0.821021943073377,NA,0.2
"0.2",0.775,0.821011943430286,NA,0.2
"0.2",0.8,0.820983687352835,NA,0.2
"0.2",0.825,0.820945747815603,NA,0.2
"0.2",0.85,0.820904063380562,NA,0.2
"0.2",0.875,0.820855018167422,NA,0.2
"0.2",0.9,0.820797708742224,NA,0.2
"0.2",0.925,0.820740058152322,NA,0.2
"0.2",0.95,0.820677425213122,NA,0.2
"0.2",0.975,0.820613600711045,NA,0.2
"0.2",1,0.820546680084626,NA,0.2
"0.3",0.05,0.0186593935120635,NA,0.3
"0.3",0.075,0.0192461316648169,NA,0.3
"0.3",0.1,0.0199930821970244,NA,0.3
"0.3",0.125,0.0213392527852704,NA,0.3
"0.3",0.15,0.0237721315007717,NA,0.3
"0.3",0.175,0.0282564328618207,NA,0.3
"0.3",0.2,0.0684273951668398,NA,0.3
"0.3",0.225,0.305579624050314,NA,0.3
"0.3",0.25,0.610812016636061,NA,0.3
"0.3",0.275,0.717241151509191,NA,0.3
"0.3",0.3,0.766880954453347,NA,0.3
"0.3",0.325,0.790462153592577,NA,0.3
"0.3",0.35,0.802759470270478,NA,0.3
"0.3",0.375,0.809664484326726,NA,0.3
"0.3",0.4,0.813753998875881,NA,0.3
"0.3",0.425,0.81629948694538,NA,0.3
"0.3",0.45,0.817944171523283,NA,0.3
"0.3",0.475,0.819031160693312,NA,0.3
"0.3",0.5,0.819767200995728,NA,0.3
"0.3",0.525,0.820272061527776,NA,0.3
"0.3",0.55,0.820622855281977,NA,0.3
"0.3",0.575,0.820862280214961,NA,0.3
"0.3",0.6,0.821023396159526,NA,0.3
"0.3",0.625,0.821127262736694,NA,0.3
"0.3",0.65,0.821193877318374,NA,0.3
"0.3",0.675,0.821220997841571,NA,0.3
"0.3",0.7,0.821232356524625,NA,0.3
"0.3",0.725,0.82122231738426,NA,0.3
"0.3",0.75,0.821195121534878,NA,0.3
"0.3",0.775,0.821160174596794,NA,0.3
"0.3",0.8,0.821116866171726,NA,0.3
