"Mean_Seroprevalence","Extinction_Day","Parameter_Value","Parameter_Tested"
0.0229776844752981,1412,0,"Tasl"
0.0237025798509668,1417,0.05,"Tasl"
0.0248365828226221,2219,0.1,"Tasl"
0.0266249458774375,2551,0.15,"Tasl"
0.0297571680141379,2930,0.2,"Tasl"
0.0355001649232571,4352,0.25,"Tasl"
0.0511739601473474,6902,0.3,"Tasl"
0.147744686532819,12408,0.35,"Tasl"
0.218458164030519,12427,0.4,"Tasl"
0.320914184422393,12436,0.45,"Tasl"
0.409970126399628,12424,0.5,"Tasl"
0.477486883543223,12417,0.55,"Tasl"
0.537395436246471,12412,0.6,"Tasl"
0.579869169318807,12408,0.65,"Tasl"
0.61401992785313,12405,0.7,"Tasl"
0.640783654090791,12402,0.75,"Tasl"
0.663455850152345,12399,0.8,"Tasl"
0.68122473935488,12398,0.85,"Tasl"
0.695873902601519,12396,0.9,"Tasl"
0.708269338890485,12394,0.95,"Tasl"
0.71866431947386,12393,1,"Tasl"
0.236884031120756,12531,0.41,"Tasl"
