"Mean_Seroprevalence","Extinction_Day","Parameter_Value","Parameter_Tested"
0.017753614085818,0,0,"Tsla"
0.0193025301531552,59,0.05,"Tsla"
0.0257652448606864,2917,0.1,"Tsla"
0.189380449218094,12531,0.15,"Tsla"
0.448756165219501,12421,0.2,"Tsla"
0.60007871706408,12408,0.25,"Tsla"
0.68370612146242,12400,0.3,"Tsla"
0.728404111961186,12395,0.35,"Tsla"
0.754845850931894,12392,0.4,"Tsla"
0.771977493725527,12390,0.45,"Tsla"
0.783761745675912,12389,0.5,"Tsla"
0.792219860867359,12388,0.55,"Tsla"
0.798483593446823,12387,0.6,"Tsla"
0.803236305146178,12386,0.65,"Tsla"
0.806905792245374,12385,0.7,"Tsla"
0.809770811976034,12384,0.75,"Tsla"
0.81202901931689,12384,0.8,"Tsla"
0.81382249412383,12383,0.85,"Tsla"
0.815254706411656,12383,0.9,"Tsla"
0.816403629625738,12383,0.95,"Tsla"
0.817333154775704,12383,1,"Tsla"
0.236884031120756,12531,0.16,"Tsla"
