"Mean_Seroprevalence","Extinction_Day","Parameter_Value","Parameter_Tested"
0.0229919345350791,1412,0,"epsilon"
0.0589123852479306,8349,0.05,"epsilon"
0.314588147922865,12484,0.1,"epsilon"
0.444708139043518,12421,0.15,"epsilon"
0.506398654754148,12414,0.2,"epsilon"
0.546534774530559,12411,0.25,"epsilon"
0.573288017617054,12409,0.3,"epsilon"
0.589881965928249,12408,0.35,"epsilon"
0.60183324920098,12406,0.4,"epsilon"
0.610867105197917,12406,0.45,"epsilon"
0.617983262686686,12405,0.5,"epsilon"
0.624453035564748,12405,0.55,"epsilon"
0.629745702961053,12404,0.6,"epsilon"
0.63396111089785,12404,0.65,"epsilon"
0.637492148789644,12403,0.7,"epsilon"
0.640511408217191,12403,0.75,"epsilon"
0.643123656478898,12403,0.8,"epsilon"
0.645408293883576,12403,0.85,"epsilon"
0.647423727646237,12403,0.9,"epsilon"
0.649216053353558,12402,0.95,"epsilon"
0.650823112951142,12402,1,"epsilon"
0.236884031120756,12531,0.083,"epsilon"
