"Mean_Seroprevalence","Extinction_Day","Parameter_Value","Parameter_Tested"
0.0200628372049346,91,0,"q"
0.0201464373806692,91,0.05,"q"
0.0202403466702447,91,0.1,"q"
0.0203463683215813,91,0.15,"q"
0.0204666703406037,91,0.2,"q"
0.0207759173755131,317,0.25,"q"
0.0210040790690178,322,0.3,"q"
0.0212581100098389,325,0.35,"q"
0.0217753807039665,732,0.4,"q"
0.0224833214715113,1069,0.45,"q"
0.023879546902877,1419,0.5,"q"
0.0271506617539662,2233,0.55,"q"
0.0373111224502221,4354,0.6,"q"
0.116303763217744,10581,0.65,"q"
0.236884211742255,12531,0.7,"q"
0.386363524217363,12423,0.75,"q"
0.50287123212262,12409,0.8,"q"
0.592977194634305,12398,0.85,"q"
0.649890238302928,12389,0.9,"q"
0.685023210526639,12383,0.95,"q"
0.706694084587008,12380,1,"q"
0.236884031120756,12531,0.7,"q"
