"q","Tasl","Day_of_Extinction","mean_popn_R0","param1"
"0",0.05,82,NA,0
"0",0.1,84,NA,0
"0",0.15,85,NA,0
"0",0.2,86,NA,0
"0",0.25,88,NA,0
"0",0.3,89,NA,0
"0",0.35,90,NA,0
"0",0.4,92,NA,0
"0",0.45,93,NA,0
"0",0.5,94,NA,0
"0",0.55,96,NA,0
"0",0.6,97,NA,0
"0",0.65,98,NA,0
"0",0.7,99,NA,0
"0",0.75,100,NA,0
"0",0.8,101,NA,0
"0",0.85,103,NA,0
"0",0.9,104,NA,0
"0",0.95,105,NA,0
"0",1,106,NA,0
"0.1",0.05,82,NA,0.1
"0.1",0.1,84,NA,0.1
"0.1",0.15,85,NA,0.1
"0.1",0.2,86,NA,0.1
"0.1",0.25,88,NA,0.1
"0.1",0.3,89,NA,0.1
"0.1",0.35,90,NA,0.1
"0.1",0.4,92,NA,0.1
"0.1",0.45,93,NA,0.1
"0.1",0.5,94,NA,0.1
"0.1",0.55,96,NA,0.1
"0.1",0.6,97,NA,0.1
"0.1",0.65,98,NA,0.1
"0.1",0.7,99,NA,0.1
"0.1",0.75,100,NA,0.1
"0.1",0.8,101,NA,0.1
"0.1",0.85,103,NA,0.1
"0.1",0.9,104,NA,0.1
"0.1",0.95,105,NA,0.1
"0.1",1,106,NA,0.1
"0.2",0.05,82,NA,0.2
"0.2",0.1,84,NA,0.2
"0.2",0.15,85,NA,0.2
"0.2",0.2,86,NA,0.2
"0.2",0.25,88,NA,0.2
"0.2",0.3,306,NA,0.2
"0.2",0.35,309,NA,0.2
"0.2",0.4,311,NA,0.2
"0.2",0.45,313,NA,0.2
"0.2",0.5,315,NA,0.2
"0.2",0.55,317,NA,0.2
"0.2",0.6,318,NA,0.2
"0.2",0.65,320,NA,0.2
"0.2",0.7,322,NA,0.2
"0.2",0.75,324,NA,0.2
"0.2",0.8,326,NA,0.2
"0.2",0.85,328,NA,0.2
"0.2",0.9,329,NA,0.2
"0.2",0.95,331,NA,0.2
"0.2",1,333,NA,0.2
"0.3",0.05,314,NA,0.3
"0.3",0.1,315,NA,0.3
"0.3",0.15,316,NA,0.3
"0.3",0.2,317,NA,0.3
"0.3",0.25,318,NA,0.3
"0.3",0.3,320,NA,0.3
"0.3",0.35,321,NA,0.3
"0.3",0.4,323,NA,0.3
"0.3",0.45,324,NA,0.3
"0.3",0.5,326,NA,0.3
"0.3",0.55,327,NA,0.3
"0.3",0.6,329,NA,0.3
"0.3",0.65,724,NA,0.3
"0.3",0.7,729,NA,0.3
"0.3",0.75,733,NA,0.3
"0.3",0.8,737,NA,0.3
"0.3",0.85,741,NA,0.3
"0.3",0.9,744,NA,0.3
"0.3",0.95,747,NA,0.3
"0.3",1,750,NA,0.3
"0.4",0.05,319,NA,0.4
"0.4",0.1,320,NA,0.4
"0.4",0.15,723,NA,0.4
"0.4",0.2,725,NA,0.4
"0.4",0.25,727,NA,0.4
"0.4",0.3,729,NA,0.4
"0.4",0.35,731,NA,0.4
"0.4",0.4,733,NA,0.4
"0.4",0.45,736,NA,0.4
"0.4",0.5,1060,NA,0.4
"0.4",0.55,1068,NA,0.4
"0.4",0.6,1074,NA,0.4
"0.4",0.65,1079,NA,0.4
"0.4",0.7,1083,NA,0.4
"0.4",0.75,1414,NA,0.4
"0.4",0.8,1435,NA,0.4
"0.4",0.85,1808,NA,0.4
"0.4",0.9,2237,NA,0.4
"0.4",0.95,1625,NA,0.4
"0.4",1,1623,NA,0.4
"0.5",0.05,730,NA,0.5
"0.5",0.1,731,NA,0.5
"0.5",0.15,1063,NA,0.5
