"q","vax","Day_of_Extinction","mean_popn_R0","param1","PropVax"
"0",0,92,NA,0,0
"0",0.000284210526315789,90,NA,0,0.05
"0",6e-04,87,NA,0,0.1
"0",0.000952941176470588,85,NA,0,0.15
"0",0.00135,82,NA,0,0.2
"0",0.0018,79,NA,0,0.25
"0",0.00231428571428571,75,NA,0,0.3
"0",0.0036,67,NA,0,0.4
"0",0.0054,0,NA,0,0.5
"0",0.0081,0,NA,0,0.6
"0",0.0126,0,NA,0,0.7
"0",0.0216,0,NA,0,0.8
"0",0.0486,0,NA,0,0.9
"0",0.5346,0,NA,0,0.99
"0.1",0,92,NA,0.1,0
"0.1",0.000284210526315789,90,NA,0.1,0.05
"0.1",6e-04,87,NA,0.1,0.1
"0.1",0.000952941176470588,85,NA,0.1,0.15
"0.1",0.00135,82,NA,0.1,0.2
"0.1",0.0018,79,NA,0.1,0.25
"0.1",0.00231428571428571,75,NA,0.1,0.3
"0.1",0.0036,67,NA,0.1,0.4
"0.1",0.0054,0,NA,0.1,0.5
"0.1",0.0081,0,NA,0.1,0.6
"0.1",0.0126,0,NA,0.1,0.7
"0.1",0.0216,0,NA,0.1,0.8
"0.1",0.0486,0,NA,0.1,0.9
"0.1",0.5346,0,NA,0.1,0.99
"0.2",0,311,NA,0.2,0
"0.2",0.000284210526315789,90,NA,0.2,0.05
"0.2",6e-04,87,NA,0.2,0.1
"0.2",0.000952941176470588,85,NA,0.2,0.15
"0.2",0.00135,82,NA,0.2,0.2
"0.2",0.0018,79,NA,0.2,0.25
"0.2",0.00231428571428571,75,NA,0.2,0.3
"0.2",0.0036,67,NA,0.2,0.4
"0.2",0.0054,0,NA,0.2,0.5
"0.2",0.0081,0,NA,0.2,0.6
"0.2",0.0126,0,NA,0.2,0.7
"0.2",0.0216,0,NA,0.2,0.8
"0.2",0.0486,0,NA,0.2,0.9
"0.2",0.5346,0,NA,0.2,0.99
"0.3",0,323,NA,0.3,0
"0.3",0.000284210526315789,320,NA,0.3,0.05
"0.3",6e-04,317,NA,0.3,0.1
"0.3",0.000952941176470588,314,NA,0.3,0.15
"0.3",0.00135,308,NA,0.3,0.2
"0.3",0.0018,79,NA,0.3,0.25
"0.3",0.00231428571428571,75,NA,0.3,0.3
"0.3",0.0036,67,NA,0.3,0.4
"0.3",0.0054,0,NA,0.3,0.5
"0.3",0.0081,0,NA,0.3,0.6
"0.3",0.0126,0,NA,0.3,0.7
"0.3",0.0216,0,NA,0.3,0.8
"0.3",0.0486,0,NA,0.3,0.9
"0.3",0.5346,0,NA,0.3,0.99
"0.4",0,734,NA,0.4,0
"0.4",0.000284210526315789,731,NA,0.4,0.05
"0.4",6e-04,727,NA,0.4,0.1
"0.4",0.000952941176470588,321,NA,0.4,0.15
"0.4",0.00135,318,NA,0.4,0.2
"0.4",0.0018,314,NA,0.4,0.25
"0.4",0.00231428571428571,308,NA,0.4,0.3
"0.4",0.0036,67,NA,0.4,0.4
"0.4",0.0054,0,NA,0.4,0.5
"0.4",0.0081,0,NA,0.4,0.6
"0.4",0.0126,0,NA,0.4,0.7
"0.4",0.0216,0,NA,0.4,0.8
"0.4",0.0486,0,NA,0.4,0.9
"0.4",0.5346,0,NA,0.4,0.99
"0.5",0,1416,NA,0.5,0
"0.5",0.000284210526315789,1076,NA,0.5,0.05
"0.5",6e-04,1073,NA,0.5,0.1
"0.5",0.000952941176470588,1068,NA,0.5,0.15
"0.5",0.00135,1062,NA,0.5,0.2
"0.5",0.0018,729,NA,0.5,0.25
"0.5",0.00231428571428571,724,NA,0.5,0.3
"0.5",0.0036,67,NA,0.5,0.4
"0.5",0.0054,0,NA,0.5,0.5
"0.5",0.0081,0,NA,0.5,0.6
"0.5",0.0126,0,NA,0.5,0.7
"0.5",0.0216,0,NA,0.5,0.8
"0.5",0.0486,0,NA,0.5,0.9
"0.5",0.5346,0,NA,0.5,0.99
"0.6",0,2936,NA,0.6,0
"0.6",0.000284210526315789,2928,NA,0.6,0.05
"0.6",6e-04,2552,NA,0.6,0.1
"0.6",0.000952941176470588,2224,NA,0.6,0.15
"0.6",0.00135,1804,NA,0.6,0.2
"0.6",0.0018,1418,NA,0.6,0.25
"0.6",0.00231428571428571,1072,NA,0.6,0.3
