"q","biteA","Mean_Annual_Seroprevalence","param1","Persistence","mean_popn_R0","R0_when_q0","Persist_long","Persist_year"
"0",0.01,0.0180225462364671,0,0,0.76915604266102,0.76915604266102,"no","no"
"0",0.02,0.0182960623173961,0,62,0.773281598779576,0.773281598779576,"no","no"
"0",0.03,0.018586953218841,0,70,0.780102590867436,0.780102590867436,"no","no"
"0",0.04,0.0189419594987126,0,76,0.78954945709425,0.78954945709425,"no","no"
"0",0.05,0.0193047309211223,0,81,0.801530444827193,0.801530444827193,"no","no"
"0",0.06,0.0197894638621031,0,86,0.815934919957535,0.815934919957535,"no","no"
"0",0.07,0.0205477191850656,0,91,0.832638576033922,0.832638576033922,"no","no"
"0",0.08,0.0214433103178868,0,96,0.851507755221135,0.851507755221135,"no","no"
"0",0.09,0.0225052668362332,0,101,0.87240372974769,0.87240372974769,"no","no"
"0",0.1,0.0239095649591002,0,107,0.895191743451662,0.895191743451662,"no","no"
"0",0.11,0.0257838642984982,0,112,0.919738168511114,0.919738168511114,"no","no"
"0",0.12,0.0279534511951836,0,117,0.945901431644407,0.945901431644407,"no","no"
"0",0.13,0.0303685213228877,0,121,0.973557606464564,0.973557606464564,"no","no"
"0",0.14,0.0330883905811311,0,124,1.00258721053862,1.00258721053862,"no","yes"
"0",0.15,0.0360538965188058,0,126,1.03287735991693,1.03287735991693,"no","yes"
"0",0.16,0.0391483783236831,0,127,1.06432099147041,1.06432099147041,"no","yes"
"0",0.17,0.042207235511866,0,127,1.09681648507424,1.09681648507424,"no","yes"
"0",0.18,0.0450469777948041,0,126,1.13026805437022,1.13026805437022,"no","yes"
"0",0.19,0.0475107942298122,0,123,1.16458586218723,1.16458586218723,"no","yes"
"0",0.2,0.0495095040021199,0,120,1.19968907648674,1.19968907648674,"no","yes"
"0",0.21,0.0510341778089863,0,116,1.23550556655838,1.23550556655838,"no","yes"
"0",0.22,0.0521403823211243,0,112,1.27197313512694,1.27197313512694,"no","yes"
"0",0.23,0.052915213178534,0,107,1.30903735364765,1.30903735364765,"no","yes"
"0",0.24,0.0534483059959816,0,103,1.34665051022915,1.34665051022915,"no","yes"
"0",0.25,0.0538150863626784,0,99,1.3847696427633,1.3847696427633,"no","yes"
"0",0.26,0.0540712960038272,0,95,1.42335616840201,1.42335616840201,"no","yes"
"0",0.27,0.0542561469349296,0,92,1.46237453165079,1.46237453165079,"no","yes"
"0",0.28,0.0543940450830619,0,90,1.50179196331321,1.50179196331321,"no","yes"
"0",0.29,0.0545013805757539,0,87,1.54157895752961,1.54157895752961,"no","yes"
"0",0.3,0.0545877070501418,0,85,1.58170794285454,1.58170794285454,"no","yes"
"0",0.31,0.0546596900429491,0,84,1.62215408372748,1.62215408372748,"no","yes"
"0",0.32,0.0547207961519824,0,82,1.66289408016987,1.66289408016987,"no","yes"
"0",0.33,0.0547750834637832,0,81,1.70390739408892,1.70390739408892,"no","yes"
"0",0.34,0.0548231981867552,0,80,1.74517499683515,1.74517499683515,"no","yes"
"0",0.35,0.0548665742752194,0,79,1.7866789113766,1.7866789113766,"no","yes"
"0",0.36,0.0549061671296819,0,78,1.82840361572379,1.82840361572379,"no","yes"
