"q","muC","Mean_Annual_Seroprevalence","mean_popn_R0","param1"
"0",0.01,0.0206809181429288,NA,0
"0",0.035,0.0206415448480143,NA,0
"0",0.06,0.020637736981765,NA,0
"0",0.085,0.0206369065267755,NA,0
"0",0.11,0.0206366635007929,NA,0
"0",0.135,0.0206365831826583,NA,0
"0",0.16,0.0206365517596284,NA,0
"0",0.185,0.0206365394668796,NA,0
"0",0.21,0.0206365338290802,NA,0
"0.1",0.01,0.0208990414142835,NA,0.1
"0.1",0.035,0.0208597033280453,NA,0.1
"0.1",0.06,0.0208558992562118,NA,0.1
"0.1",0.085,0.0208550707861328,NA,0.1
"0.1",0.11,0.0208548320680052,NA,0.1
"0.1",0.135,0.0208547479009576,NA,0.1
"0.1",0.16,0.0208547159976496,NA,0.1
"0.1",0.185,0.0208547059685027,NA,0.1
"0.1",0.21,0.0208546978414107,NA,0.1
"0.2",0.01,0.102907681908786,NA,0.2
"0.2",0.035,0.021200095163351,NA,0.2
"0.2",0.06,0.021195355828602,NA,0.2
"0.2",0.085,0.0211945384802935,NA,0.2
"0.2",0.11,0.0211942990913019,NA,0.2
"0.2",0.135,0.0211942215259579,NA,0.2
"0.2",0.16,0.0211941897891561,NA,0.2
"0.2",0.185,0.0211941770093904,NA,0.2
"0.2",0.21,0.0211941708618647,NA,0.2
"0.3",0.01,0.102945060276263,NA,0.3
"0.3",0.035,0.0217399567306161,NA,0.3
"0.3",0.06,0.0217253665756325,NA,0.3
"0.3",0.085,0.0217244709907805,NA,0.3
"0.3",0.11,0.0217242303036072,NA,0.3
"0.3",0.135,0.0217241474526384,NA,0.3
"0.3",0.16,0.021724116003316,NA,0.3
"0.3",0.185,0.0217241028126069,NA,0.3
"0.3",0.21,0.0217240975026782,NA,0.3
"0.4",0.01,0.10311971669232,NA,0.4
"0.4",0.035,0.0229431641614841,NA,0.4
"0.4",0.06,0.0226154112603854,NA,0.4
"0.4",0.085,0.0226140898528299,NA,0.4
"0.4",0.11,0.0226138385560195,NA,0.4
"0.4",0.135,0.0226137561499238,NA,0.4
"0.4",0.16,0.0226137264291687,NA,0.4
"0.4",0.185,0.0226137162865843,NA,0.4
"0.4",0.21,0.0226137106320447,NA,0.4
"0.5",0.01,0.103541433338258,NA,0.5
"0.5",0.035,0.0735287606072125,NA,0.5
"0.5",0.06,0.0245861211843002,NA,0.5
"0.5",0.085,0.0245822408057698,NA,0.5
"0.5",0.11,0.0245819705404056,NA,0.5
"0.5",0.135,0.0245818848548596,NA,0.5
"0.5",0.16,0.0245818576655683,NA,0.5
"0.5",0.185,0.0245818473862968,NA,0.5
"0.5",0.21,0.0245818381843664,NA,0.5
"0.6",0.01,0.104416252795295,NA,0.6
"0.6",0.035,0.0742328512441339,NA,0.6
"0.6",0.06,0.0323062433575563,NA,0.6
"0.6",0.085,0.0322404366502487,NA,0.6
"0.6",0.11,0.0322364531233733,NA,0.6
"0.6",0.135,0.0322357921663051,NA,0.6
"0.6",0.16,0.0322356415303953,NA,0.6
"0.6",0.185,0.0322356092703485,NA,0.6
"0.6",0.21,0.0322355800598326,NA,0.6
"0.7444736",0.01,0.735503690450574,NA,0.7444736
"0.7444736",0.035,0.194046262383592,NA,0.7444736
"0.7444736",0.06,0.27945224906316,NA,0.7444736
"0.7444736",0.085,0.197706343892565,NA,0.7444736
"0.7444736",0.11,0.196647282994938,NA,0.7444736
"0.7444736",0.135,0.196507192113646,NA,0.7444736
"0.7444736",0.16,0.196469691412446,NA,0.7444736
"0.7444736",0.185,0.196457861542097,NA,0.7444736
"0.7444736",0.21,0.196452963968851,NA,0.7444736
"0.8",0.01,0.745328792766821,NA,0.8
"0.8",0.035,0.559989604047402,NA,0.8
"0.8",0.06,0.392054972681909,NA,0.8
"0.8",0.085,0.385074799475467,NA,0.8
"0.8",0.11,0.385239871343783,NA,0.8
"0.8",0.135,0.385272129386758,NA,0.8
"0.8",0.16,0.385281912997921,NA,0.8
"0.8",0.185,0.385285292739162,NA,0.8
"0.8",0.21,0.385286218017562,NA,0.8
"0.9",0.01,0.74405660405247,NA,0.9
"0.9",0.035,0.707713406118501,NA,0.9
"0.9",0.06,0.604707479471552,NA,0.9
"0.9",0.085,0.598034256499182,NA,0.9
"0.9",0.11,0.598097545654384,NA,0.9
"0.9",0.135,0.59810382216054,NA,0.9
"0.9",0.16,0.598105228015563,NA,0.9
"0.9",0.185,0.59810565058022,NA,0.9
"0.9",0.21,0.598105428968926,NA,0.9
"0.99",0.01,0.751674021757072,NA,0.99
"0.99",0.035,0.748911889296155,NA,0.99
"0.99",0.06,0.691272994290133,NA,0.99
"0.99",0.085,0.683317086326936,NA,0.99
"0.99",0.11,0.683311039262138,NA,0.99
"0.99",0.135,0.683309568000759,NA,0.99
"0.99",0.16,0.683309197530363,NA,0.99
"0.99",0.185,0.683309237126496,NA,0.99
"0.99",0.21,0.683309243875335,NA,0.99
