"Mean_Seroprevalence","Extinction_Day","Parameter_Value","Parameter_Tested"
0.0265531049823645,2224,0,"Tasl"
0.027974783738659,2915,0.05,"Tasl"
0.029944528615389,2925,0.1,"Tasl"
0.0326279238803313,2932,0.15,"Tasl"
0.0373247976774636,4352,0.2,"Tasl"
0.0455144745663054,5504,0.25,"Tasl"
0.0632157920589105,8350,0.3,"Tasl"
0.142420821377629,12406,0.35,"Tasl"
0.221885691818925,12417,0.4,"Tasl"
0.297697401769052,12524,0.45,"Tasl"
0.374051946946366,12429,0.5,"Tasl"
0.437095059278657,12421,0.55,"Tasl"
0.499642139421619,12415,0.6,"Tasl"
0.54653083129377,12410,0.65,"Tasl"
0.582533911229588,12407,0.7,"Tasl"
0.614003557439502,12404,0.75,"Tasl"
0.639035292460044,12401,0.8,"Tasl"
0.659407070958217,12399,0.85,"Tasl"
0.676070654636938,12397,0.9,"Tasl"
0.690187342874343,12395,0.95,"Tasl"
0.703427940338819,12394,1,"Tasl"
0.228961304563428,12422,0.41,"Tasl"
