"Mean_Seroprevalence","Extinction_Day","Parameter_Value","Parameter_Tested"
0.0265769808961874,2224,0,"epsilon"
0.0716811202548765,10582,0.05,"epsilon"
0.303772015816034,12531,0.1,"epsilon"
0.417842374551388,12431,0.15,"epsilon"
0.473006114556118,12419,0.2,"epsilon"
0.508773585128613,12415,0.25,"epsilon"
0.53192775207326,12412,0.3,"epsilon"
0.549863050118305,12410,0.35,"epsilon"
0.563040033946942,12409,0.4,"epsilon"
0.573919992124117,12408,0.45,"epsilon"
0.581835204293623,12407,0.5,"epsilon"
0.588412498933488,12407,0.55,"epsilon"
0.594003446537222,12406,0.6,"epsilon"
0.599984829721261,12406,0.65,"epsilon"
0.603965659608185,12406,0.7,"epsilon"
0.6073980446841,12405,0.75,"epsilon"
0.610394663114895,12405,0.8,"epsilon"
0.613028273756576,12405,0.85,"epsilon"
0.615363030204672,12405,0.9,"epsilon"
0.617449356713566,12404,0.95,"epsilon"
0.619323130192767,12404,1,"epsilon"
0.228961304563428,12422,0.083,"epsilon"
