"Mean_Seroprevalence","Extinction_Day","Parameter_Value","Parameter_Tested"
0.0206375694873242,92,0,"q"
0.0207402333168245,92,0.05,"q"
0.0208557316187235,92,0.1,"q"
0.0209863228685696,92,0.15,"q"
0.0211951870586105,311,0.2,"q"
0.0214693683030825,319,0.25,"q"
0.02172517094317,323,0.3,"q"
0.0220822727626228,725,0.35,"q"
0.0226150361098037,734,0.4,"q"
0.0233082688104072,1071,0.45,"q"
0.024584477798671,1416,0.5,"q"
0.0268247393797518,2218,0.55,"q"
0.0322803472541582,2936,0.6,"q"
0.0437118115930741,4682,0.65,"q"
0.097847676823568,10211,0.7,"q"
0.246515136430303,12427,0.75,"q"
0.384862290424374,12424,0.8,"q"
0.511479436174689,12408,0.85,"q"
0.60234798226967,12395,0.9,"q"
0.659939202488572,12386,0.95,"q"
0.693482147319967,12381,1,"q"
0.228961304563428,12422,0.7444736,"q"
